layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
38,0.12158203125,0.1044921875,0.04931640625,0.1650390625,0.08935546875,0.03466796875,0.146484375,5,126,64,106.0,126.0,0.0908203125,123.0,0.037109375,0.00146484375,0.072265625,0.021647135416666664,-0.014811197916666666,0.055826822916666664,0.015462239583333337,0.0483,0.41530054644808745,0.02052766762797405,0.9343864051094879
39,0.17724609375,0.10888671875,0.03466796875,0.189453125,0.09033203125,0.015625,0.16650390625,7,97,64,65.0,79.0,0.06005859375,93.0,0.03662109375,0.007312011718750004,0.06689453125,0.031656901041666664,0.0035786946614583337,0.06274414062499999,0.004964192708333336,0.0194,0.40540540540540543,0.1176369168356998,1.1015073831009015
40,0.11376953125,0.182861328125,0.064935302734375,0.33447265625,0.2177734375,0.0966796875,0.37109375,5,119,64,61.0,119.0,0.05029296875,117.0,0.083251953125,0.03173828125,0.1369689941406249,0.07535807291666667,0.0244140625,0.12874348958333331,0.007893880208333334,0.0019,0.38228699551569506,0.18233957219251337,0.7281788995125609
41,1.00390625,1.20751953125,0.9462890625,1.5249267578124996,1.1923828125,0.93699951171875,1.5161254882812498,4,128,64,108.0,124.0,0.86669921875,126.0,1.025390625,0.7978271484375,1.3110473632812498,1.0132649739583335,0.7846638997395833,1.2972900390625002,0.012125651041666666,0.0,0.85995085995086,0.8041845138549168,0.9209066912526206
42,1.16357421875,1.261474609375,1.04417724609375,1.505621337890625,1.264892578125,1.0387939453125,1.525396728515625,5,125,64,48.0,125.0,0.767578125,125.0,0.91552734375,0.73681640625,1.1171875,0.873291015625,0.7003499348958334,1.0677937825520831,0.042236328125,0.0,0.7237984944991315,0.6510698560996564,0.7944863942286234
43,0.99365234375,1.0380859375,0.80615234375,1.302734375,1.033935546875,0.80565185546875,1.2998046875,4,120,64,84.0,119.0,0.90283203125,124.0,0.93994140625,0.72264404296875,1.1894653320312498,0.9297688802083333,0.7098775227864584,1.1742370605468748,0.010172526041666668,0.0,0.9090909090909091,0.8590620363051661,0.9566211240826261
44,0.60009765625,0.599609375,0.470703125,0.75537109375,0.584716796875,0.459222412109375,0.7326843261718747,4,124,64,59.0,115.0,0.30078125,124.0,0.319580078125,0.21923828125,0.4384826660156249,0.2897135416666667,0.1875,0.40836588541666663,0.029866536458333336,0.0,0.5465553235908142,0.43569187801861187,0.6462527074133627
45,0.85693359375,1.01611328125,0.84080810546875,1.212890625,1.00732421875,0.8330078125,1.19921875,5,128,64,23.0,128.0,0.65380859375,127.0,0.828125,0.67039794921875,0.99462890625,0.804931640625,0.6476094563802083,0.9716817220052082,0.023193359375,0.0,0.8221037324285022,0.7762506379898009,0.8702114480633439
46,1.03082275390625,1.270751953125,1.03831787109375,1.5153991699218747,1.26904296875,1.03662109375,1.5136962890624996,5,121,64,9.0,121.0,0.7236328125,124.0,0.923583984375,0.723126220703125,1.137701416015625,0.8448893229166666,0.6469645182291667,1.0540690104166663,0.07869466145833333,0.0,0.7277799153520584,0.6640589939834995,0.7892250900360143
47,2.22918701171875,2.420166015625,2.068572998046875,2.802740478515625,2.41796875,2.072503662109375,2.7951965332031246,7,119,64,25.0,119.0,1.00439453125,124.0,1.15283203125,0.95068359375,1.3681884765624996,0.973388671875,0.7844848632812499,1.1748148600260415,0.179443359375,0.0,0.4767770597738288,0.4281501550789877,0.5268559552717674
